,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
1,lHYiCS-y8AFjUitv6MGpxg,"""Starbucks""",Liberty Village,"""85 Hanna Avenue""",Toronto,ON,M6K 3S3,43.6398633116,-79.4195331865,4.0,21,1,Food;Coffee & Tea
3,1K4qrnfyzKzGgJPBEcJaNQ,"""Chula Taberna Mexicana""",Leslieville,"""1058 Gerrard Street E""",Toronto,ON,M4M 3A6,43.6692562,-79.3359022,3.5,39,1,Tiki Bars;Nightlife;Mexican;Restaurants;Bars
4,AtdXq_gu9NTE5rx4ct_dGg,"""DAVIDsTEA""",Ryerson,"""10 Dundas Street E""",Toronto,ON,M5B 2G9,43.6567287,-79.3807182,4.0,6,1,Coffee & Tea;Food;Tea Rooms
5,nbhBRhZtdaZmMMeb2i02pg,"""Sunnyside Grill""",,"""2777 Steeles Avenue W""",Toronto,ON,M3J 3K5,43.7818155,-79.4904331,5.0,3,1,Restaurants;Breakfast & Brunch
6,FXHfcFVEfI1vVngW2gVOpw,"""Bampot House of Tea & Board Games""",,"""201 Harbord Street""",Toronto,ON,M5S 1H6,43.6615816807,-79.4088784561,4.0,55,1,Coffee & Tea;Restaurants;Food;Mediterranean;Tea Rooms
9,VXH7zXcZzXlmAVN8GSjGRQ,"""Thai Express""",,"""4700 Keele Street""",Toronto,ON,M3J 1P3,43.7748776774,-79.4946187281,3.0,5,1,Imported Food;Specialty Food;Thai;Ethnic Food;Food;Restaurants
10,dTWfATVrBfKj7Vdn0qWVWg,"""Flavor Cuisine""",Scarborough,"""8 Glen Watford Drive""",Toronto,ON,M1S 2C1,43.7870613,-79.2761657,3.0,6,1,Restaurants;Chinese;Food Court
12,sJ0MYSAIVK28cMzh-s-NPA,"""Amaya Express""",Downtown Core,"""Eaton Centre, 220 Yonge St""",Toronto,ON,M5B 2L7,43.6540667,-79.3800815,2.5,34,1,Indian;Restaurants;Fast Food
15,JmKgz6n7zn24F-WkgT-kiA,"""Maki My Way""",St. Lawrence,"""7 King Street E""",Toronto,ON,M5C 3C5,43.6491517002,-79.3774947524,4.5,7,1,Restaurants;Sushi Bars;Japanese;Asian Fusion
18,t8yi2l7pZF43Rlf9_lHdDA,"""Hero Certified Burgers - King & Yonge""",Downtown Core,"""79A Yonge Street""",Toronto,ON,M5C 1S8,43.6495217,-79.3779103,2.5,29,1,Burgers;Restaurants
28,Rh2smrKvcamnP8VBUgMI0Q,"""Dim Sum King Seafood Restaurant""",Chinatown,"""421 Dundas St W, 3rd Fl""",Toronto,ON,M5T 1G6,43.653324,-79.395372,3.5,165,1,Chinese;Restaurants;Dim Sum
29,O_UC_izJXcAmkm6HlEyGSA,"""Playa Cabana""",The Annex,"""111 Dupont Street""",Toronto,ON,M5R 1V4,43.6759577693,-79.4011840224,4.0,363,1,Mexican;Restaurants;Nightlife;Bars
30,ww_MXl-qDLeYdYTZZ9KWbA,"""Pho Linh""",Brockton Village,"""1156 College Street W""",Toronto,ON,M6H 1B6,43.652368,-79.4340771,4.0,162,1,Vietnamese;Restaurants
32,bviMnO3CdmFE1btUGlXc-w,"""Green Post""",Kensington Market,"""221 Augusta Avenue""",Toronto,ON,M4W 1A7,43.6542899,-79.4018971,4.0,4,1,Food;Specialty Food;Health Markets
33,fUOY7g6JcO0m3iZNfK0O0g,"""Injapan""",Liberty Village,"""124 Atlantic Avenue""",Toronto,ON,M6K 1X9,43.6397312,-79.4212973,3.0,32,1,Restaurants;Japanese;Sushi Bars
41,MIBi66jl0rSVJsanYziDQw,"""Yogurty's""",,"""1703 Avenue Road""",Toronto,ON,M5M 3Y5,43.7278086,-79.4176172,4.0,3,1,Ice Cream & Frozen Yogurt;Food
